,,,,,,,,,,,,,,,,,
,Fall ,Spring*,Summer ,Fall,Spring*,,,,,,,,,,,,
CYBR -Cyber Defense,,,,,,,,,,,,,,,,,
Fall Start,CYBR 6126,CYBR 6167,CYBR 6136,CPSC 6125,,,,,,,,,,,,,
,CPSC 6157,CYBR 6128,,Elective,,,,,,,,,,,,,
,Elective,CYBR 6226,,CYBR 6159,,,,,,,,,,,,,
Spring Start ,,CYBR 6126,CYBR 6136,CPSC 6125,CYBR 6167,,,,,,,,,,,,
,,CYBR 6226,,Elective,CYBR 6128,,Fall: 13 course,,,,,,,,,,
,,CPSC 6157,,CYBR 6159,Elective,,,,,,,,,,,,
CYBR - Management,,,,,,,Spring: 12 courses,,,,,,,,,,
Fall Start,CYBR 6126,CYBR 6228,CYBR 6136,MSOL,,,,,,,,,,,,,
,MSOL,CYBR 6167,,CYBR 6222,,,,,,,,,,,,,
,CPSC 6157,Elective,,Elective,,,*6136 might be offered in spring,,,,,,,,,,
Spring Start ,,CYBR 6126,CYBR 6136,Elective,CYBR 6228,,,,,,,,,,,,
,,CPSC 6157,,CYBR 6222,MSOL,,common courses:,,,,,,,,,,
,,Elective,,MSOL,CYBR 6167,,CYBR 6126,,,,,,,,,,
ACS -  Software Dev,,,,,,,CPSC 6157,,,,,,,,,,
Fall Start,CPSC 6119,CPSC 6127,CYBR 6126,CPSC 6175,,,CPSC 6109,,,,,,,,,,
,CPSC 6109,CPSC 6185,,Elective,,,,,,,,,,,,,
,CPSC 6177,CPSC 6179,,Elective,,,,,,,,,,,,,
Spring Start ,,CPSC 6109,Elective,CPSC 6119,Elective,,,,,,,,,,,,
,,CPSC 6185,,CPSC 6177,CPSC 6179,,,,,,,,,,,,
,,CYBR 6126,,CPSC 6175,CPSC 6127,,,,,,,,,,,,
ACS -  AI and Data Science,,,,,,,,,,,,,,,,,
Fall Start,CPSC 6114,CPSC 6185,Elective,CPSC 6121,,,,,,,,,,,,,
,CPSC 6119,CPSC 6124,,CPSC 6109,,,,,,,,,,,,,
,CYBR 6126,CPSC 6147,,Elective,,,,,,,,,,,,,
Spring Start ,,CPSC 6109,CYBR 6126,CPSC 6114,CPSC 6124,,,,,,,,,,,,
,,CPSC 6185,,CPSC 6119,CPSC 6147,,,,,,,,,,,,
,,Elective,,CPSC 6121,Elective,,,,,,,,,,,,
ACS -  General,,,,,,,,,,,,,,,,,
Fall Start,CPSC 6119,Elective,CYBR 6126,CPSC 6177,,,,,,,,,,,,,
,CPSC 6109,CPSC 6185,,CPSC 6125,,,,,,,,,,,,,
,CPSC 6157,CPSC 6127,,Elective,,,,,,,,,,,,,
Spring Start ,,CPSC 6185,CYBR 6126,CPSC 6125,CPSC 6157,,,,,,,,,,,,
,,CPSC 6109,,CPSC 6119,Elective,,,,,,,,,,,,
,,CPSC 6127,,CPSC 6177,Elective,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Option I,,,,,,,,,,,,,,,
